Date,Open,High,Low,Close,Adj Close,Volume
2019-05-28,126.9800033569336,128.0,126.05000305175781,126.16000366210938,120.31825256347656,23128400
2019-05-29,125.37999725341797,125.38999938964844,124.04000091552734,124.94000244140625,119.15475463867188,22763100
2019-05-30,125.26000213623047,125.76000213623047,124.77999877929688,125.7300033569336,119.90815734863281,16829600
2019-05-31,124.2300033569336,124.62000274658203,123.31999969482422,123.68000030517578,117.95307159423828,26646800
2019-06-03,123.8499984741211,124.37000274658203,119.01000213623047,119.83999633789062,114.29090881347656,37983600
2019-06-04,121.27999877929688,123.27999877929688,120.6500015258789,123.16000366210938,117.45716094970703,29382600
2019-06-05,124.94999694824219,125.87000274658203,124.20999908447266,125.83000183105469,120.0035400390625,24926100
2019-06-06,126.44000244140625,127.97000122070312,125.5999984741211,127.81999969482422,121.90139770507812,21459000
2019-06-07,129.19000244140625,132.25,128.25999450683594,131.39999389648438,125.31561279296875,33885600
2019-06-10,132.39999389648438,134.0800018310547,132.0,132.60000610351562,126.46004486083984,26477100
2019-06-11,133.8800048828125,134.24000549316406,131.27999877929688,132.10000610351562,125.98320007324219,23913700
2019-06-12,131.39999389648438,131.97000122070312,130.7100067138672,131.49000549316406,125.40148162841797,17092500
2019-06-13,131.97999572753906,133.0,131.55999755859375,132.32000732421875,126.19300079345703,17200800
2019-06-14,132.25999450683594,133.7899932861328,131.63999938964844,132.4499969482422,126.31698608398438,17821700
2019-06-17,132.6300048828125,133.72999572753906,132.52999877929688,132.85000610351562,126.698486328125,14517800
2019-06-18,134.19000244140625,135.24000549316406,133.57000732421875,135.16000366210938,128.9014892578125,25934500
2019-06-19,135.0,135.92999267578125,133.80999755859375,135.69000244140625,129.406982421875,23744400
2019-06-20,137.4499969482422,137.66000366210938,135.72000122070312,136.9499969482422,130.60862731933594,33042600
2019-06-21,136.5800018310547,137.72999572753906,136.4600067138672,136.97000122070312,130.627685546875,36727900
2019-06-24,137.0,138.39999389648438,137.0,137.77999877929688,131.40016174316406,20628800
2019-06-25,137.25,137.58999633789062,132.72999572753906,133.42999267578125,127.25164031982422,33327400
2019-06-26,134.35000610351562,135.74000549316406,133.60000610351562,133.92999267578125,127.72846984863281,23657700
2019-06-27,134.13999938964844,134.7100067138672,133.50999450683594,134.14999389648438,127.93824768066406,16557500
2019-06-28,134.57000732421875,134.60000610351562,133.16000366210938,133.9600067138672,127.75708770751953,30043000
2019-07-01,136.6300048828125,136.6999969482422,134.97000122070312,135.67999267578125,129.39743041992188,22613500
2019-07-02,136.1199951171875,136.58999633789062,135.33999633789062,136.5800018310547,130.25575256347656,15237800
